"Datum","Feiertag","Kanton","Typ"
2010-01-01,"Neujahrstag","ZH","A"
2010-01-01,"Neujahrstag","BE","A"
2010-01-01,"Neujahrstag","LU","A"
2010-01-01,"Neujahrstag","UR","A"
2010-01-01,"Neujahrstag","SZ","A"
2010-01-01,"Neujahrstag","OW","A"
2010-01-01,"Neujahrstag","NW","A"
2010-01-01,"Neujahrstag","GL","A"
2010-01-01,"Neujahrstag","ZG","A"
2010-01-01,"Neujahrstag","FR","A"
2010-01-01,"Neujahrstag","SO","A"
2010-01-01,"Neujahrstag","BS","A"
2010-01-01,"Neujahrstag","BL","A"
2010-01-01,"Neujahrstag","SH","A"
2010-01-01,"Neujahrstag","AR","A"
2010-01-01,"Neujahrstag","AI","A"
2010-01-01,"Neujahrstag","SG","A"
2010-01-01,"Neujahrstag","GR","A"
2010-01-01,"Neujahrstag","AG","A"
2010-01-01,"Neujahrstag","TG","A"
2010-01-01,"Neujahrstag","TI","A"
2010-01-01,"Neujahrstag","VD","A"
2010-01-01,"Neujahrstag","VS","A"
2010-01-01,"Neujahrstag","NE","A"
2010-01-01,"Neujahrstag","GE","A"
2010-01-01,"Neujahrstag","JU","A"
2010-01-02,"Berchtoldstag","ZH","D"
2010-01-02,"Berchtoldstag","BE","A"
2010-01-02,"Berchtoldstag","LU","D"
2010-01-02,"Berchtoldstag","OW","D"
2010-01-02,"Berchtoldstag","GL","D"
2010-01-02,"Berchtoldstag","ZG","D"
2010-01-02,"Berchtoldstag","FR","D"
2010-01-02,"Berchtoldstag","SO","D"
2010-01-02,"Berchtoldstag","SH","D"
2010-01-02,"Berchtoldstag","GR","d"
2010-01-02,"Berchtoldstag","AG","a"
2010-01-02,"Berchtoldstag","TG","A"
2010-01-02,"Berchtoldstag","VD","A"
2010-01-02,"Berchtoldstag","NE","D"
2010-01-02,"Berchtoldstag","GE","D"
2010-01-02,"Berchtoldstag","JU","B"
2010-01-06,"Heilige Drei Könige","UR","B"
2010-01-06,"Heilige Drei Könige","SZ","B"
2010-01-06,"Heilige Drei Könige","GR","a"
2010-01-06,"Heilige Drei Könige","TI","A"
2010-03-19,"Josefstag","LU","a"
2010-03-19,"Josefstag","UR","B"
2010-03-19,"Josefstag","SZ","A"
2010-03-19,"Josefstag","NW","B"
2010-03-19,"Josefstag","ZG","a"
2010-03-19,"Josefstag","GR","a"
2010-03-19,"Josefstag","TI","B"
2010-03-19,"Josefstag","VS","A"
2010-04-02,"Karfreitag","ZH","A"
2010-04-02,"Karfreitag","BE","A"
2010-04-02,"Karfreitag","LU","A"
2010-04-02,"Karfreitag","UR","A"
2010-04-02,"Karfreitag","SZ","A"
2010-04-02,"Karfreitag","OW","A"
2010-04-02,"Karfreitag","NW","A"
2010-04-02,"Karfreitag","GL","A"
2010-04-02,"Karfreitag","ZG","A"
2010-04-02,"Karfreitag","FR","A"
2010-04-02,"Karfreitag","SO","A"
2010-04-02,"Karfreitag","BS","A"
2010-04-02,"Karfreitag","BL","A"
2010-04-02,"Karfreitag","SH","A"
2010-04-02,"Karfreitag","AR","A"
2010-04-02,"Karfreitag","AI","A"
2010-04-02,"Karfreitag","SG","A"
2010-04-02,"Karfreitag","GR","A"
2010-04-02,"Karfreitag","AG","A"
2010-04-02,"Karfreitag","TG","A"
2010-04-02,"Karfreitag","VD","A"
2010-04-02,"Karfreitag","NE","A"
2010-04-02,"Karfreitag","GE","A"
2010-04-02,"Karfreitag","JU","A"
2010-04-05,"Ostermontag","ZH","A"
2010-04-05,"Ostermontag","BE","A"
2010-04-05,"Ostermontag","LU","D"
2010-04-05,"Ostermontag","UR","B"
2010-04-05,"Ostermontag","SZ","B"
2010-04-05,"Ostermontag","OW","D"
2010-04-05,"Ostermontag","NW","D"
2010-04-05,"Ostermontag","GL","A"
2010-04-05,"Ostermontag","ZG","D"
2010-04-05,"Ostermontag","FR","D"
2010-04-05,"Ostermontag","SO","d"
2010-04-05,"Ostermontag","BS","A"
2010-04-05,"Ostermontag","BL","A"
2010-04-05,"Ostermontag","SH","A"
2010-04-05,"Ostermontag","AR","A"
2010-04-05,"Ostermontag","AI","A"
2010-04-05,"Ostermontag","SG","A"
2010-04-05,"Ostermontag","GR","A"
2010-04-05,"Ostermontag","AG","a"
2010-04-05,"Ostermontag","TG","A"
2010-04-05,"Ostermontag","TI","A"
2010-04-05,"Ostermontag","VD","A"
2010-04-05,"Ostermontag","NE","D"
2010-04-05,"Ostermontag","GE","A"
2010-04-05,"Ostermontag","JU","A"
2010-05-01,"Tag der Arbeit","ZH","A"
2010-05-01,"Tag der Arbeit","FR","c"
2010-05-01,"Tag der Arbeit","SO","C"
2010-05-01,"Tag der Arbeit","BS","A"
2010-05-01,"Tag der Arbeit","BL","A"
2010-05-01,"Tag der Arbeit","SH","B"
2010-05-01,"Tag der Arbeit","AG","D"
2010-05-01,"Tag der Arbeit","TG","B"
2010-05-01,"Tag der Arbeit","TI","B"
2010-05-01,"Tag der Arbeit","NE","A"
2010-05-01,"Tag der Arbeit","JU","A"
2010-05-13,"Auffahrt","ZH","A"
2010-05-13,"Auffahrt","BE","A"
2010-05-13,"Auffahrt","LU","A"
2010-05-13,"Auffahrt","UR","A"
2010-05-13,"Auffahrt","SZ","A"
2010-05-13,"Auffahrt","OW","A"
2010-05-13,"Auffahrt","NW","A"
2010-05-13,"Auffahrt","GL","A"
2010-05-13,"Auffahrt","ZG","A"
2010-05-13,"Auffahrt","FR","A"
2010-05-13,"Auffahrt","SO","A"
2010-05-13,"Auffahrt","BS","A"
2010-05-13,"Auffahrt","BL","A"
2010-05-13,"Auffahrt","SH","A"
2010-05-13,"Auffahrt","AR","A"
2010-05-13,"Auffahrt","AI","A"
2010-05-13,"Auffahrt","SG","A"
2010-05-13,"Auffahrt","GR","A"
2010-05-13,"Auffahrt","AG","A"
2010-05-13,"Auffahrt","TG","A"
2010-05-13,"Auffahrt","TI","A"
2010-05-13,"Auffahrt","VD","A"
2010-05-13,"Auffahrt","VS","A"
2010-05-13,"Auffahrt","NE","A"
2010-05-13,"Auffahrt","GE","A"
2010-05-13,"Auffahrt","JU","A"
2010-05-24,"Pfingstmontag","ZH","A"
2010-05-24,"Pfingstmontag","BE","A"
2010-05-24,"Pfingstmontag","LU","D"
2010-05-24,"Pfingstmontag","UR","B"
2010-05-24,"Pfingstmontag","SZ","B"
2010-05-24,"Pfingstmontag","OW","D"
2010-05-24,"Pfingstmontag","NW","D"
2010-05-24,"Pfingstmontag","GL","B"
2010-05-24,"Pfingstmontag","ZG","D"
